1;Bütyök;2015-9-13;8;kan;Újfundlandi;egészséges;0;18;fogszuvas;egészséges;közepes tigriscsíkos barna kék;szeret játszani;1;0;2021-6-23;/www_tappancs_hu/104.jpg
2;Oszkár;2020-5-13;3;kan;Pireneusi juhászkutya;közepes;1;9;foghiányos;rossz;kicsi fehér rózsaszín kék;bélférges;1;0;2023-11-14;/www_tappancs_hu/52.jpg
3;Askim;2015-11-13;8;szuka;Cseh szálkás szakállú vizsla;rossz;0;20;egészséges;egészséges;közepes tigriscsíkos sötétbarna barna;szeret ölelni;1;0;2023-10-19;/www_tappancs_hu/136.jpg
4;Rinó;2019-10-11;4;szuka;Középspitz;egészséges;1;28;fogszuvas;közepes;közepes foltos barna zöld;több mozgást igényel;1;0;2023-5-21;/www_tappancs_hu/155.jpg
5;Pongó;2018-4-7;5;szuka;Groenendael;egészséges;0;12;fogszuvas;rossz;kicsi barna sötétbarna barna;szeret az ablakban ülni;1;0;2023-2-16;/www_tappancs_hu/110.jpg
6;Bűvész;2018-8-3;5;kan;Japán csin;rossz;1;25;egészséges;közepes;kicsi foltos barna kék;szeret nyugodtan pihenni;1;0;2021-8-13;/www_tappancs_hu/205.jpg
7;Pötyi;2020-5-16;3;kan;Vörös ír szetter;közepes;1;7;foghiányos;rossz;közepes barna rózsaszín barna;szeret nyugodtan pihenni;1;0;2021-11-26;/www_tappancs_hu/51.jpg
8;Adonisz;2016-2-16;7;kan;Hosszúszőrű német vizsla;közepes;1;8;foghiányos;rossz;közepes fehér sötétbarna zöld;szeret úszni;1;0;2021-12-19;/www_tappancs_hu/122.jpg
9;Tekergő;2019-4-21;4;kan;Finn spicc;közepes;1;29;egészséges;egészséges;közepes arany vörös zöld;szeret kutyakölykökkel játszani;1;0;2022-10-15;/www_tappancs_hu/43.jpg
10;Edward;2020-3-4;3;szuka;Pumi;egészséges;1;14;egészséges;közepes;nagy tigriscsíkos barna barna;kedveli a sétákat;1;0;2022-12-26;/www_tappancs_hu/111.jpg
11;Apolló;2017-11-17;6;kan;Göndörszőrű retriever;közepes;0;20;fogszuvas;közepes;közepes fekete vörös barna;szeret kutyakölykökkel játszani;1;0;2023-4-26;/www_tappancs_hu/157.jpg
12;Maya;2020-8-2;3;szuka;Holland juhászkutya;rossz;1;7;fogszuvas;egészséges;nagy barna fekete barna;szeret sétálni a parkban;1;0;2022-1-5;/www_tappancs_hu/63.jpg
13;Magnipuss;2016-9-15;7;kan;Angol mosómedvekopó;egészséges;0;6;egészséges;rossz;közepes szürke fekete barna;szeret futkosni a kertben;1;0;2023-10-7;/www_tappancs_hu/36.jpg
14;Keksz;2020-12-9;3;szuka;Brüsszeli griffon;egészséges;1;27;fogszuvas;rossz;közepes fehér rózsaszín kék;köröm vágást igényel;1;0;2021-3-13;/www_tappancs_hu/102.jpg
15;Destiny;2019-10-5;4;szuka;Wolfspitz;egészséges;0;30;fogszuvas;egészséges;kicsi fehér barna kék;szeret ölelni;1;0;2023-7-24;/www_tappancs_hu/109.jpg
16;Adél;2017-1-26;6;kan;Amerikai staffordshire terrier;rossz;0;7;fogszuvas;rossz;közepes tigriscsíkos rózsaszín kék;szeret ölelni;1;0;2021-4-14;/www_tappancs_hu/114.jpg
17;Frakk;2017-3-25;6;kan;Saarloosi farkaskutya;rossz;1;30;fogszuvas;közepes;kicsi sárga rózsaszín kék;szeret nyugodtan pihenni;1;0;2023-12-24;/www_tappancs_hu/41.jpg
18;Polli;2020-2-19;3;kan;Nivernais-i griffon;rossz;1;7;foghiányos;rossz;nagy arany barna zöld;szeret ölelni;1;0;2023-8-6;/www_tappancs_hu/25.jpg
19;Mancs;2019-4-27;4;kan;Glen of Imaal terrier;közepes;0;22;foghiányos;közepes;kicsi fehér sötétbarna kék;imád aludni;1;0;2021-11-25;/www_tappancs_hu/62.jpg
20;Desiré;2018-12-15;5;szuka;Bolognai pincs;egészséges;0;7;egészséges;rossz;közepes szürke barna kék;szeret labdázni;1;0;2023-12-6;/www_tappancs_hu/74.jpg
21;Adonisz;2017-12-22;6;kan;Boszniai kopó;rossz;1;15;egészséges;egészséges;kicsi sárga sötétbarna zöld;több mozgást igényel;1;0;2022-9-16;/www_tappancs_hu/122.jpg
22;Szeti;2018-6-12;5;szuka;Manchester terrier;egészséges;0;19;fogszuvas;egészséges;kicsi fehér barna barna;szeret nyugodtan pihenni;1;0;2022-9-15;/www_tappancs_hu/150.jpg
23;Elvis;2016-8-1;7;szuka;Francia vizsla;rossz;1;20;egészséges;rossz;kicsi sárga barna zöld;szeret játszani;1;0;2022-11-23;/www_tappancs_hu/170.jpg
24;Maya;2015-1-4;8;kan;Gascogne-i kék basset;közepes;1;26;fogszuvas;egészséges;nagy foltos vörös zöld;szeret az ablakban ülni;1;0;2021-9-24;/www_tappancs_hu/39.jpg
25;Sámson;2018-4-11;5;kan;Isztriai kopó;közepes;1;9;foghiányos;rossz;közepes vörös barna kék;imád aludni;1;0;2021-2-15;/www_tappancs_hu/66.jpg
26;Horka;2015-10-24;8;kan;Yorkshire terrier;közepes;0;24;fogszuvas;egészséges;kicsi foltos rózsaszín barna;szeret ölelni;1;0;2023-5-25;/www_tappancs_hu/26.jpg
27;Boomer;2018-8-1;5;szuka;Közép uszkár;rossz;0;28;egészséges;rossz;közepes foltos sötétbarna kék;szeret sétálni a parkban;1;0;2022-8-14;/www_tappancs_hu/39.jpg
28;Maya;2019-9-25;4;kan;Saarloosi farkaskutya;rossz;0;19;foghiányos;rossz;nagy foltos rózsaszín kék;kedves és barátságos;1;0;2022-12-10;/www_tappancs_hu/132.jpg
29;Darling;2017-12-28;6;szuka;Kelet-szibériai lajka;egészséges;1;19;egészséges;egészséges;közepes tigriscsíkos barna barna;szeret ölelni;1;0;2022-6-25;/www_tappancs_hu/12.jpg
30;Rolf;2016-1-27;7;szuka;Saage kochee;rossz;0;13;foghiányos;rossz;nagy fehér sötétbarna kék;szeret játszani;1;0;2022-7-15;/www_tappancs_hu/71.jpg
